Refcode,largest_cavity_diameter,pore_limiting_diameter,largest_included_sphere_along_free_sphere_path,Unitcell_volume,Density_g/cm3,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/cm^3,NASA_m^2/g,POAV_A^3,POAV_Volume_fraction,POAV_cm^3/g,PONAV_A^3,PONAV_Volume_fraction,PONAV_cm^3/g
EYUCEH,2.15357,1.10639,2.15357,1898.58,2.77724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPAKIQ,2.96382,2.20922,2.95875,1281.55,1.75242,0.0,0.0,53.263,30.394,0.0,0.0,0.0,54.8247,0.04278,0.024412
EHAHIF,2.29694,1.24521,2.16466,1458.68,4.18259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FELQOF,2.76881,1.78734,2.68989,1458.1,2.42829,0.0,0.0,4.69862,1.93495,0.0,0.0,0.0,0.0,0.0,0.0
DUZPIZ,1.7145,0.92153,1.67646,919.775,2.49093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESATIC,2.80615,1.65501,2.53967,1138.22,2.50877,0.0,0.0,15.1064,6.02143,0.0,0.0,0.0,24.9954,0.02196,0.00875329
DIWDIY,2.79332,0.68063,2.57823,1349.32,2.38245,0.0,0.0,4.51741,1.89612,0.0,0.0,0.0,10.0929,0.00748,0.00313963
DUGHIY,2.01191,1.11722,2.00937,2206.44,1.95704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EKACAW,2.39923,1.09864,2.26566,2451.25,1.55652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEPCIO,1.8431,1.1302,1.8431,987.445,2.39832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOHKUJ,2.83279,1.22959,2.28321,3540.71,1.89533,0.0,0.0,7.75877,4.09363,0.0,0.0,0.0,8.78095,0.00248,0.00130848
EYEWEN,1.82327,0.87897,1.82327,878.293,2.33676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAZREE,2.01123,1.04516,2.00952,663.819,1.97104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EREHUG,2.09979,0.95821,2.0175,876.695,2.12147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOSCIZ,5.06004,2.8526,5.00862,2142.93,1.74579,1322.43,757.492,0.0,0.0,616.263,0.28758,0.164727,0.0,0.0,0.0
ECOZED,5.9713,4.82047,5.9713,1968.65,1.69361,1892.45,1117.41,0.0,0.0,781.949,0.3972,0.234528,0.0,0.0,0.0
DIFRIU01,2.00726,1.0019,1.94904,846.899,2.40083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECOYIG,2.32791,1.16483,2.31257,1267.59,2.9129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
